"Ecosystem","Density","Fertilizer","Inoculum","Pot_ID","Andropogon.gerardii","Asclepias.verticillata","Bouteloua.curtipendula","Brickellia.eupatorioides","Lespedeza.capitata","Panicum.virgatum","Dalea.candida","Solidago.canadensis","Sorghastrum.nutans","Geum.rossii","Artemisia.scopulorum","Polygonum.bistortoides","Carex.scopulorum","Deschampsia.cespitosa","Erigeron.simplex","Potentilla.diversifolia","Trifolium.parryi","Trisetum.spicatum","Aristida.purpurea","Astragalus.nuttallianus","Bouteloua.eriopoda","Bouteloua.gracilis","Cryptantha.crassisepala","Gutierrezia.sarothrae","Melampodium.leucanthum","Pleraphis.jamesii","Sporobolus.flexuosus","Richness","Shannon_diversity","Evenness","Productivity"
"alpine tundra","low","X","nitrogen","20-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2926,1.7474,0.0209,8.1407,5.3383,0.2455,0.3613,0.3923,2.8492,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.4972999274138,0.68145056397878,19.3882
"alpine tundra","high","N","nitrogen","21-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3816,2.1416,0.0119,14.3502,5.5817,0.2076,0.5113,0.7004,5.2332,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.42164518616693,0.647018607397176,29.1195
"alpine tundra","low","N","nitrogen","21-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1546,2.1938,0.0367,19.5687,4.5281,0.1485,0.5093,0.0853,5.4235,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.19836475962164,0.545399306007428,32.6485
"alpine tundra","high","X","nitrogen","22-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216,1.805,0.1435,6.8215,5.0415,0.4739,0.5277,0.8142,3.3681,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.65724822228862,0.754246170092349,19.2114
"alpine tundra","low","X","nitrogen","22-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2085,1.8639,0.0812,13.3308,6.4651,0.3075,0.345,0.7189,2.9622,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.38657910334262,0.631059345341762,26.2831
"alpine tundra","high","N","nitrogen","23-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2712,1.9956,0.0879,10.1177,8.1811,0.2662,0.7607,1.113,4.1772,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.55387367846427,0.707198387680556,26.9706
"alpine tundra","low","N","nitrogen","23-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,1.2993,0.0601,14.6224,6.0492,0.2705,0.482,0.5079,9.3257,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.36080360950748,0.619328412554549,32.7731
"alpine tundra","high","X","nitrogen","24-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2073,1.8562,0.0727,9.9132,5.2716,0.2371,0.3648,0.547,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.46364725726229,0.666134573752458,21.4199
"alpine tundra","low","X","nitrogen","24-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1999,1.5129,0.0308,9.3064,5.6085,0.2225,0.2464,0.3491,4.0225,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.43165957343,0.651576351455918,21.499
"alpine tundra","high","N","nitrogen","25-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,2.071,0.0692,6.574,10.1371,0.1914,0.5869,0.3583,6.2796,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.47915093743774,0.673190602678846,26.4235
"alpine tundra","low","N","nitrogen","25-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1832,1.2993,0.0712,13.3958,6.168,0.1378,0.4227,0.1891,7.1654,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.33680031902856,0.608404044273531,29.0325
"alpine tundra","high","X","autoclaved control inoculum","27-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5216,0.9801,0.096,8.7038,5.3191,0.3199,0.7348,0.271,1.7786,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.47628642359746,0.671886906247526,18.7249
"alpine tundra","high","X","autoclaved nitrogen inoculum","28-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1935,0.844,0.1058,10.2202,5.9422,0.245,0.666,0.2927,1.8087,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.35076203013494,0.614758292833461,20.3181
"alpine tundra","high","N","control","3-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1445,1.68632,0.0822,5.69561,7.06085,0.4179,1.27856,0.6988,5.3556,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.6473515998409,0.74974202311083,22.42034
"alpine tundra","low","N","control","3-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1977,0.8722,0.0693,9.2022,12.4501,0.1709,0.7582,0.2457,5.3989,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.35558658428607,0.616954042053134,29.3652
"alpine tundra","high","X","autoclaved nitrogen inoculum","30-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2488,0.7154,0.1006,7.7487,3.2601,0.2329,0.4821,0.2076,1.5008,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.39827102456508,0.636380568007416,14.497
"alpine tundra","high","X","autoclaved control inoculum","31-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2751,0.8555,0.0861,4.5119,3.1294,0.3245,0.4093,0.2003,1.1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.59253357299728,0.724793263931161,10.9758
"alpine tundra","high","X","autoclaved control inoculum","32-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4898,1.1007,0.1175,5.8275,5.849,0.2122,0.5464,0.3892,1.4177,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.5421764016468,0.701874727578569,15.95
